Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	mRNA processing (GO:0006397)	192/283	9.514680095158102e-52	4.8553412525591815e-48	0	0	2.6821317639137328	315.101101415595	DBR1;GEMIN2;EIF4A3;HNRNPU;GPATCH1;WDR83;HNRNPR;CWC27;CCAR1;EFTUD2;PNN;SNRPD2;RAVER1;CLP1;MAGOH;SNRPD3;PRKACA;SRRM2;SNRPN;THOC1;THOC3;PRPF4B;THOC2;THOC5;GTF2F1;WBP11;CRNKL1;SRRM1;THOC6;PRPF4;DDX39A;PRPF6;DDX39B;HNRNPUL1;PSPC1;SARNP;PRPF3;SNRPG;SRSF2;CD2BP2;SRSF3;SNRNP27;PPIE;SRSF4;SNRPE;SNRPF;SRSF5;SRSF6;SNRPC;SNRNP200;SRSF7;SNRPA;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;RBM8A;DHX9;CSTF3;CSTF2;SUPT4H1;HTATSF1;PRPF8;ZMAT2;PCBP1;PCBP2;CSTF1;SYMPK;HSPA8;CHTOP;CPSF6;CPSF1;RBPMS;FUS;CPSF3;ALYREF;NONO;CPSF2;FAM103A1;UPF3B;CWC15;LSM5;SUPT5H;LSM4;LSM3;CHERP;LSM2;HNRNPL;HNRNPM;LSM7;HNRNPK;SNW1;LSM6;SON;HNRNPF;HNRNPD;RNPS1;HNRNPC;DDX46;CELF1;DDX42;PPWD1;DDX41;YBX1;PRPF19;USP39;ELAVL1;SYNCRIP;UBL5;PTBP1;SART1;SART3;PCF11;RSRC1;SNRNP70;DHX15;CTNNBL1;RBM5;RBM17;RBM15;NCBP1;NCBP2;BUD31;PRPF40B;PRPF40A;TFIP11;PLRG1;WDR33;KIN;SFPQ;PRPF18;HNRNPH1;SYF2;HNRNPH2;NAA38;SNRPA1;PABPC1;HNRNPH3;DNAJC8;SLU7;PRMT9;RBM22;U2AF1L5;SF3B5;SF3B2;SF3B3;RNMT;SF3B6;SRRT;PRCC;SRSF1;DDX23;CSTF2T;U2AF1;TBRG4;RBM15B;PABPN1;FIP1L1;PUF60;U2AF2;POLR2B;TRA2B;TRA2A;POLR2E;POLR2F;RALY;POLR2G;SNRPB2;POLR2I;HNRNPA1;SF3B1;SMNDC1;SRSF11;HNRNPA0;SF3A3;SF3A1;PPIL1;HNRNPA3;SF3A2;RNGTT;GPKOW;CDC5L;U2SURP;XAB2;NUDT21;SNRNP40;PHF5A;ERCC3;HNRNPA2B1;PRPF31;RBMX
GO_Biological_Process_2018	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	170/236	1.0244628839209891e-51	2.6139170483244034e-48	0	0	2.847752453254982	334.3479839275078	DBR1;EIF4A3;HNRNPU;GPATCH1;WDR83;HNRNPR;CWC27;CCAR1;EFTUD2;PNN;SNRPD2;RAVER1;CLP1;MAGOH;SNRPD3;SRRM2;SNRPN;PRPF4B;GTF2F1;WBP11;CRNKL1;SRRM1;PRPF4;DDX39A;PRPF6;DDX39B;HNRNPUL1;PSPC1;PRPF3;SNRPG;SRSF2;CD2BP2;SRSF3;SNRNP27;PPIE;SRSF4;SNRPE;SNRPF;SRSF5;SRSF6;SNRPC;SNRNP200;SRSF7;SNRPA;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;RBM8A;DHX9;CSTF3;CSTF2;HTATSF1;PRPF8;ZMAT2;PCBP1;PCBP2;CSTF1;SYMPK;HSPA8;CPSF1;RBPMS;FUS;CPSF3;ALYREF;NONO;CPSF2;UPF3B;CWC15;LSM5;LSM4;LSM3;CHERP;LSM2;HNRNPL;HNRNPM;LSM7;HNRNPK;SNW1;LSM6;HNRNPF;HNRNPD;RNPS1;HNRNPC;DDX46;DDX42;PPWD1;DDX41;YBX1;PRPF19;USP39;ELAVL1;SYNCRIP;UBL5;PTBP1;SART1;SART3;PCF11;RSRC1;SNRNP70;DHX15;CTNNBL1;RBM5;RBM17;RBM15;NCBP1;NCBP2;BUD31;PRPF40B;PRPF40A;TFIP11;PLRG1;WDR33;SFPQ;HNRNPH1;SYF2;HNRNPH2;NAA38;SNRPA1;PABPC1;HNRNPH3;DNAJC8;SLU7;RBM22;U2AF1L5;SF3B5;SF3B2;SF3B3;SF3B6;SRRT;PRCC;SRSF1;DDX23;CSTF2T;U2AF1;RBM15B;PABPN1;FIP1L1;PUF60;U2AF2;POLR2B;TRA2B;TRA2A;POLR2E;POLR2F;RALY;POLR2G;SNRPB2;POLR2I;HNRNPA1;SF3B1;SMNDC1;SRSF11;HNRNPA0;SF3A3;SF3A1;PPIL1;HNRNPA3;SF3A2;GPKOW;CDC5L;U2SURP;XAB2;NUDT21;SNRNP40;PHF5A;HNRNPA2B1;PRPF31;RBMX
GO_Biological_Process_2018	mRNA splicing, via spliceosome (GO:0000398)	180/261	3.4145807968457634e-50	5.8082019354346435e-47	0	0	2.7264485962197798	310.5457666233622	DBR1;GEMIN2;EIF4A3;HNRNPU;GPATCH1;WDR83;HNRNPR;CWC27;CCAR1;EFTUD2;PNN;SNRPD2;RAVER1;CLP1;MAGOH;SNRPD3;SRRM2;DDX17;SNRPN;PRPF4B;GTF2F1;WBP11;CRNKL1;WDR77;SRRM1;PRPF4;DDX39A;PRPF6;DDX39B;HNRNPUL1;PSPC1;PRPF3;SNRPG;SRSF2;CD2BP2;SRSF3;SNRNP27;PPIE;SRSF4;SNRPE;SNRPF;SRSF5;SRSF6;SNRPC;SNRNP200;SRSF7;SNRPA;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;RBM8A;DHX9;CSTF3;DDX1;CSTF2;HTATSF1;PRPF8;ZMAT2;PCBP1;PCBP2;CSTF1;SYMPK;SMN1;SRPK2;HSPA8;CPSF1;RBPMS;FUS;CPSF3;ALYREF;NONO;CPSF2;UPF3B;CWC15;LSM5;LSM4;LSM3;CHERP;LSM2;HNRNPL;HNRNPM;LSM7;HNRNPK;SNW1;LSM6;HNRNPF;HNRNPD;RNPS1;HNRNPC;DDX46;DDX42;PPWD1;DDX41;YBX1;PRPF19;USP39;ELAVL1;SYNCRIP;UBL5;PTBP1;SART1;SART3;PCF11;RSRC1;SNRNP70;DHX15;CTNNBL1;RBM5;PRMT5;RBM17;RBM15;NCBP1;NCBP2;BUD31;PRPF40B;PRPF40A;TFIP11;PLRG1;LIME1;WDR33;SFPQ;HNRNPH1;SYF2;STRAP;HNRNPH2;NAA38;SNRPA1;PABPC1;HNRNPH3;DNAJC8;SLU7;RBM22;U2AF1L5;SF3B5;SF3B2;SF3B3;SF3B6;SRRT;PRCC;SRSF1;DDX23;DDX20;CSTF2T;U2AF1;RBM15B;PABPN1;FIP1L1;PUF60;U2AF2;POLR2B;TRA2B;TRA2A;POLR2E;POLR2F;RALY;POLR2G;SNRPB2;POLR2I;HNRNPA1;SF3B1;SMNDC1;SRSF11;HNRNPA0;SF3A3;SF3A1;PPIL1;HNRNPA3;SF3A2;GPKOW;CDC5L;U2SURP;XAB2;NUDT21;SNRNP40;PHF5A;HNRNPA2B1;PRPF31;RBMX
GO_Biological_Process_2018	gene expression (GO:0010467)	241/411	1.815509528845744e-47	2.3161362814249583e-44	0	0	2.318144676274944	249.49062958473382	RPL4;RPL5;RPL3;NUP107;RPL32;RPL31;RPL34;EIF4A3;HNRNPU;RPL8;RPL9;PWP1;RPL6;RPL7;RPS17;RPS16;RPS19;RPL18A;CLP1;RPS18;MAGOH;RPL35;RPL38;RPL37;RPS11;PELO;RPS10;RPS13;NUP214;MEF2A;DDX17;RPL21;NUP210;RPL23;RPL22;SRRM1;NUP93;DDX39A;DDX39B;SARNP;XRN2;RPL24;RPL27;NUP98;RPL26;RPL29;RPL28;NUP205;POM121;RPS4Y2;DHX9;BAZ2A;AAAS;MRPL10;MRPL11;POM121C;DHX36;SYMPK;NUP88;UPF3B;MRPL28;SMARCA1;HARS2;RPL3L;HNRNPL;SETX;RPS25;RPS28;HNRNPK;RPS27;RPS29;HNRNPF;RPL27A;AGO2;HNRNPD;MPHOSPH10;MMS19;RNPS1;RPS20;RPS21;RPS24;FARSB;RPS23;MRPS17;SMG1;MRPS15;MRPS16;RPLP1;RPLP0;MRPS12;ASH2L;MRPL37;MRPL41;SYNCRIP;DHX15;RPLP2;UPF2;NDC1;NCOA1;UPF1;PABPC4;MRPS21;BAZ1B;MRPS7;MRPL43;MLF1;WDR33;MRPL44;MRPL52;MRPS9;PAX8;HNRNPH1;MED20;HNRNPH3;PTMA;SLU7;FYTTD1;RPL10;RPL12;MRPS33;RPL11;NOL9;RPS15A;RPL14;RPS3;RPL13;RPL15;HARS;RPS2;RPL18;RPL17;RAE1;SRSF11;RANBP2;XAB2;RSL1D1;HNRNPA2B1;RPL10A;NR3C1;RPS9;RPS7;RPS8;RPS5;RPS6;THOC1;SARS;RPSA;THOC3;THOC2;THOC5;ILF2;THOC6;EEF1A1;PRPF4;HNRNPUL1;DKC1;EEF1A2;SNRPG;NHP2;SRSF2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;SRSF9;RBM8A;TARS;NUP160;ATXN1;TPR;DARS;CHTOP;RBPMS;CPSF1;CPSF3;ALYREF;CPSF2;NUP153;ESR1;LSM7;COPS5;RSL24D1;EIF4G1;CALCOCO1;CELF2;DUSP11;RPS4X;RPL7A;MRPL3;MRPL1;NUP62;RBM5;EIF5A;NCBP1;NUP133;NCBP2;RPL13A;ARNT;DDX54;TFIP11;RPS3A;NUP50;RPL37A;NUP54;NUP58;GTF3C3;GTF3C4;SMARCD3;GTF3C5;SRSF1;RPL36A;DDX20;U2AF1;RRBP1;LMF1;HSPD1;NXF1;FIP1L1;PABPN1;U2AF2;POLR2B;POLR2E;POLR2F;POLR2G;IGF2BP3;NUP43;POLR2I;ABCF1;RBM39;RNGTT;RPL35A;RPL23A;SNRNP40;GOLPH3;TNIP1;NOVA1;DRG1;NUP35;STUB1;NUP37
GO_Biological_Process_2018	viral process (GO:0016032)	154/220	2.215565494500088e-44	2.2612061436867893e-41	0	0	2.7673453251630757	278.16867164655986	USP6NL;RPL4;RPL5;RPL3;NUP107;RPL32;RPL31;RPL34;NUCKS1;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS17;RPS16;RPS19;RPL18A;RPS18;DAG1;AP1S2;RPL35;RCC1;DENR;RPL38;RPL37;RPS11;RPS10;RPS13;NUP214;RPS9;RPL21;NUP210;RPS7;RPS8;IST1;RPL23;RPS5;RPL22;RPS6;AP1B1;RPSA;HCFC2;HCFC1;NUP93;RRAGA;TBC1D20;ELMO1;RPL24;CHMP4B;RPL27;NUP98;RPL26;RPL29;RPL28;PPIA;PPID;NUP205;POM121;CTBP2;CTBP1;HTATSF1;AAAS;NUP160;POM121C;PCBP2;TPR;ATP6V1H;NUP88;APOE;AP1M2;MCTS1;NUP153;EIF2AK4;RPS25;RPS28;RPS27;CD209;RPS29;RPL27A;PI4KA;RPS20;RPS21;RPS24;RPS23;ARF1;CALCOCO2;RPLP1;MRPS12;RPLP0;AP2A1;AP2A2;RPS4X;PTBP1;RPL7A;XPO1;AP1G1;NUP62;RPLP2;RAC1;NDC1;NUP133;VPS37C;RPL13A;VPS37A;RPS3A;VPS37B;HCK;NUP50;RPL37A;IRF7;NUP54;GAS6;CHMP6;NUP58;RAB7A;CHMP5;RAB1A;RPL10;RPL12;RAB1B;RPL11;VPS4A;RPL36A;RPS15A;MVB12B;RPL14;RPS3;RPL13;NUP43;FYN;RPL15;RPS2;RPL18;RPL17;PAK2;RAE1;RANBP2;RANBP1;SSB;RPL35A;RPL23A;AP2B1;DEK;NFIA;EIF3L;NEDD4;EIF3G;NUP35;EIF3D;RAN;EIF3A;EIF3B;NUP37
GO_Biological_Process_2018	viral gene expression (GO:0019080)	93/110	4.988137991110582e-39	4.2424113614395484e-36	0	0	3.3423781200021563	294.77688015700323	RPL4;RPL5;RPL3;NUP107;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;NUP62;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;NUP214;NDC1;RPS9;RPL21;RPS7;NUP210;NUP133;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;NUP93;NUP50;RPL37A;RPL24;RPL27;NUP54;NUP98;RPL26;RPL29;RPL28;NUP58;NUP205;POM121;RPL10;RPL12;RPL11;RPL36A;AAAS;NUP160;RPS15A;POM121C;TPR;RPL14;RPS3;RPL13;NUP88;NUP43;RPL15;RPS2;RPL18;RPL17;RAE1;RANBP2;RPL35A;NUP153;RPL23A;EIF2AK4;RPS25;RPS28;RPS27;RPS29;RPL27A;NUP35;RPS20;RPS21;RPS24;RPS23;NUP37
GO_Biological_Process_2018	rRNA processing (GO:0006364)	139/202	7.773646633519844e-39	5.666988395835968e-36	0	0	2.7203748245945367	238.71310644864292	LTV1;RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPP30;THUMPD1;PWP2;RPL8;RPL10A;RPL9;RPL6;RPL7;FBL;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL35;RPL38;RPL37;RPS11;RPS10;RPS13;RPP38;RPS9;RPL21;RPS7;IMP3;RPS8;RPL23;RPS5;RPL22;RPS6;WDR75;RPSA;EBNA1BP2;DKC1;XRN2;MRTO4;SBDS;NHP2;RPL24;RPL27;SRFBP1;RPL26;RPL29;RPL28;NOP2;NOLC1;RRP7A;EMG1;PDCD11;UTP20;LYAR;NOP14;RPP40;RCL1;RPS25;RPS28;RPS27;LSM6;LAS1L;EIF6;RPS29;RPL27A;MPHOSPH10;RPS20;NOL11;RPS21;RPS24;RPS23;DDX49;DDX47;RPLP1;WDR3;DIS3L;MRPS12;RPLP0;NAT10;WDR46;WDR43;RPS4X;SART1;RPL7A;MRPL1;RPLP2;RRP15;UTP15;WDR36;UTP11;TEX10;RPL13A;RPS3A;DDX52;UTP18;SENP3;NSA2;RPL37A;SKIV2L2;DDX27;RPL10;RPL12;RPL11;HEATR1;MAK16;RPL36A;NOL8;NOL9;EXOSC4;RPS15A;PES1;BMS1;RPL14;RPS3;RPL13;RRP36;RPL15;RPS2;RPL18;RPP14;RPL17;NOP56;UTP6;NOP58;UTP4;UTP3;KRR1;WDR18;RPL35A;RPL23A;RRP1B;WDR12;BYSL;RSL1D1;TSR1
GO_Biological_Process_2018	viral transcription (GO:0019083)	94/113	3.0854268639277215e-38	1.968116660827896e-35	0	0	3.2886278200420866	284.0438608746736	RPL4;RPL5;RPL3;NUP107;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;NUP62;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;NUP214;NDC1;RPS9;RPL21;RPS7;NUP210;NUP133;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;NUP93;NUP50;RPL37A;RPL24;RPL27;NUP54;NUP98;RPL26;RPL29;RPL28;NUP58;NUP205;POM121;RPL10;DHX9;RPL12;RPL11;RPL36A;AAAS;NUP160;RPS15A;POM121C;TPR;RPL14;RPS3;RPL13;NUP88;NUP43;RPL15;RPS2;RPL18;RPL17;RAE1;RANBP2;RPL35A;NUP153;RPL23A;USF2;RPS25;RPS28;RPS27;RPS29;RPL27A;NUP35;RPS20;RPS21;RPS24;RPS23;NUP37
GO_Biological_Process_2018	ncRNA processing (GO:0034470)	148/227	5.046068134110185e-37	2.861120632040475e-34	0	0	2.5775148403029275	215.4210585580366	LTV1;RPL4;RPL5;POP7;RPL3;RPL32;RPL31;RPL34;RPP30;PWP2;RPL8;RPL10A;RPL9;RPL6;RPL7;THG1L;FBL;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL35;RPL38;RPL37;RPS11;RPS10;RPS13;RPP38;RPS9;RPL21;RPS7;IMP3;RPS8;RPL23;RPS5;RPL22;RPS6;WDR75;SARS;RPSA;EBNA1BP2;KARS;DKC1;XRN2;MRTO4;SBDS;RPL24;RPL27;RPL26;RPL29;RPL28;NOLC1;RRP7A;EMG1;PDCD11;UTP20;LYAR;NOP14;INTS1;INTS3;RPP40;RCL1;RPS25;RPS28;RPS27;LAS1L;AGO3;RPS29;RPL27A;AGO1;AGO2;MPHOSPH10;INTS7;RPS20;NOL11;INTS9;RPS21;INTS8;RPS24;RPS23;AARS;INTS11;INTS12;DDX49;DDX47;RPLP1;WDR3;DIS3L;MRPS12;INTS10;RPLP0;ADAR;WDR46;WDR43;FARS2;RPS4X;RPL7A;RPLP2;UTP15;WDR36;UTP11;NCBP1;TEX10;RPL13A;RPS3A;DDX52;UTP18;SENP3;MRPL44;RPL37A;DDX27;RPL10;RPL12;RPL11;HEATR1;SRRT;RPL36A;NOL8;NOL9;EXOSC4;RPS15A;PES1;BMS1;RPL14;RPS3;RPL13;RRP36;RPL15;RPS2;RPL18;RPP14;RPL17;NOP56;UTP6;NOP58;SSB;UTP4;UTP3;KRR1;WDR18;RPL35A;RPL23A;RRP1B;WDR12;BYSL;HNRNPA2B1;TSR1
GO_Biological_Process_2018	cotranslational protein targeting to membrane (GO:0006613)	81/93	3.77945930283654e-36	1.9286580822374863e-33	0	0	3.4432407271614305	280.84270441423547	RPL4;RPL5;SRP19;RPL3;RPL32;ARL6IP1;RPL31;RPL34;RPLP1;MRPS12;RPLP0;SRP54;SRP14;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;SEC61A1;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL38;RPL37;SEC62;RPS11;RPS10;RPS13;SEC63;RPS9;RPL21;RPS7;RPS8;RPL23;SSR2;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS15A;SRP72;RPL14;RPS3;RPL13;SSR1;RPL15;RPS2;RPL18;RPL17;RPL35A;RPL23A;SRP68;RPS25;RPS28;RPS27;RPS29;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2018	ribosome biogenesis (GO:0042254)	146/226	7.405283803767959e-36	3.435378477329809e-33	0	0	2.5539343708837485	206.58997209784732	LTV1;RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPP30;PWP2;RPL8;NOC2L;RPL10A;RPL9;RPL6;RPL7;FBL;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL35;RPL38;RPL37;RPS11;RPS10;RPS13;RPP38;EIF2A;NOM1;RPS9;RPL21;RPS7;IMP3;RPS8;RPL23;RPS5;RPL22;RPS6;WDR75;TSC1;RPSA;EBNA1BP2;DKC1;XRN2;MRTO4;SBDS;RPL24;RPL27;RPL26;RPL29;RPL28;NOLC1;RPF2;RRP7A;EMG1;PDCD11;RRS1;UTP20;LYAR;NOP14;NOP16;RPP40;RCL1;RPS25;RPS28;RPS27;GNL3L;LAS1L;EIF6;RPS29;RPL27A;MPHOSPH10;RPS20;NOL11;RPS21;RPS24;RPS23;DDX49;DDX47;PAK1IP1;RPLP1;WDR3;DIS3L;MRPS12;RPLP0;WDR46;WDR43;RPS4X;RPL7A;XPO1;RPLP2;UTP15;WDR36;UTP11;TEX10;RPL13A;RPS3A;URB2;DDX52;GNL2;UTP18;SENP3;GNL3;LSG1;RPL37A;DDX27;RPL10;RPL12;RPL11;HEATR1;RPL36A;NOL8;NOL9;MALSU1;EXOSC4;RPS15A;PES1;BMS1;RPL14;RPS3;RPL13;RRP36;RPL15;RPS2;ZNF622;RPL18;RPP14;RPL17;NOP56;NPM1;UTP6;NOP58;UTP4;UTP3;KRR1;WDR18;RPL35A;RPL23A;RRP1B;WDR12;BYSL;TSR1;ABCE1;RAN;RPL26L1
GO_Biological_Process_2018	rRNA metabolic process (GO:0016072)	134/200	1.5259871666919252e-35	6.48926042635741e-33	0	0	2.648744811227516	212.3441415705153	LTV1;TRIR;RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPP30;PWP2;RPL8;RPL10A;RPL9;RPL6;RPL7;FBL;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL35;RPL38;RPL37;RPS11;RPS10;RPS13;RPP38;RPS9;RPL21;RPS7;IMP3;RPS8;RPL23;RPS5;RPL22;RPS6;WDR75;CD3EAP;RPSA;EBNA1BP2;DKC1;XRN2;MRTO4;SBDS;RPL24;RPL27;RPL26;RPL29;RPL28;NOLC1;RRP7A;EMG1;PDCD11;UTP20;LYAR;NOP14;RPP40;RCL1;RPS25;RPS28;RPS27;LAS1L;RPS29;RPL27A;MPHOSPH10;RPS20;NOL11;RPS21;RPS24;RPS23;DDX49;DDX47;RPLP1;WDR3;DIS3L;MRPS12;RPLP0;WDR46;WDR43;RPS4X;RPL7A;SPIN1;RPLP2;UTP15;WDR36;UTP11;TEX10;RPL13A;RPS3A;DDX52;UTP18;SENP3;RPL37A;ANG;MAPT;DDX27;RPL10;RPL12;RPL11;HEATR1;RPL36A;NOL8;NOL9;EXOSC4;RPS15A;PES1;BMS1;RPL14;RPS3;RPL13;RRP36;RPL15;RPS2;RPL18;RPP14;RPL17;NOP56;UTP6;NOP58;UTP4;CAVIN1;BRF1;NIFK;UTP3;KRR1;WDR18;RPL35A;RPL23A;RRP1B;WDR12;BYSL;MARS;TSR1
GO_Biological_Process_2018	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	78/89	2.8167839273704835e-35	1.1056960293362752e-32	0	0	3.4647341149714266	275.63651531306624	RPL4;RPL5;SRP19;RPL3;RPL32;RPL31;RPL34;RPLP1;ZFAND2B;MRPS12;RPLP0;SRP54;SRP14;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;SEC61A1;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL38;SEC61B;RPL37;RPS11;RPS10;RPS13;SEC63;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;RPL35A;RPL23A;SRP68;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2018	translation (GO:0006412)	147/232	1.127710668693426e-34	4.110505387387537e-32	0	0	2.504924647776922	195.8042072599916	RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;EPRS;RPL8;RPL10A;RPL9;RPL6;RPL7;EFTUD2;EEF1B2;NARS;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL35;RPL38;RPL37;RPS11;PELO;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;SARS;RPSA;GTPBP2;TUFM;EEF1A1;PPA2;KARS;PPA1;RPL7L1;EEF1A2;MRTO4;NHP2;RPL24;RPL27;RPL26;RPL29;RPL28;RPS4Y2;TARSL2;MRPL16;TARS;MRPL10;MRPL11;LARS;ZC3H15;YARS;DARS;MRPL28;EEF2;HARS2;RPL3L;AIMP1;AIMP2;RPS25;RPS28;RPS27;COPS5;QARS;RPS29;RPL27A;AGO2;RPS20;IARS;RPS21;RSL24D1;RPS24;FARSB;RPS23;AARS;EIF4G1;MRPS17;MRPS15;MRPS16;RPLP1;MRPS12;RPLP0;MRPL37;FARS2;MRPL41;RPS4X;MRPL3;RPL7A;MRPL1;RARS;RPLP2;TSFM;PABPC4;MRPS21;DARS2;RPL13A;RPS3A;MRPS7;MRPL43;MRPL52;EEF1G;MRPS9;EEF1D;RPL37A;GARS;ETF1;EEF1E1;RPL10;RPL12;MRPS33;RPL11;MRPS34;RPL36A;RRBP1;HSPA14;MRPL57;RPS15A;RPL14;RPS3;EIF4H;RPL13;IARS2;IGF2BP3;RPL15;HARS;RPS2;RPL18;RPL17;EIF4B;ABCF1;NDUFA7;RPL35A;RPL23A;RSL1D1;TNIP1;MARS;ABCE1;RPL26L1
GO_Biological_Process_2018	protein targeting to ER (GO:0045047)	82/97	1.4992381753098012e-34	5.100408272403943e-32	0	0	3.34200760918074	260.28536495734926	RPL4;RPL5;SRP19;RPL3;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPLP0;SRP54;SRP14;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS4X;SEC61A1;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL35;RPLP2;RPL38;RPL37;SEC62;RPS11;RPS10;RPS13;SEC63;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;SRP9;RPL37A;RPL24;CHMP4B;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;PMM1;PMM2;RPL35A;RPL23A;SRP68;RPS25;RPS28;SPCS2;RPS27;RPS29;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
