Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",-0.24998263778252636,-1599.7535788458786,0.0,0.0,125,96,LRPPRC;MT-CO1;ETFDH;TRAP1;NDUFA7;NDUFA6;SDHD;COX8A;NDUFB3;MT-ND5;NDUFB2;COX6A1;NDUFS2;NDUFS1;UQCR10;COX6B1;COX5A;NDUFB5;NDUFAF3;COX4I1;COX7A2L;NDUFB6;NDUFAF5;MT-ND2;NDUFA12;CYC1;NDUFB4;MT-ND4;NDUFA3;SURF1;MT-ATP6;NDUFS5;UQCRB;NDUFAB1;CYCS;NDUFV3;NDUFB8;SDHB;COQ10B;COX20;NDUFC2;NDUFV2;COX5B;NDUFA5;UQCRH;NDUFAF4;ECSIT;COX18;NDUFA9;NDUFS6;NDUFAF7;UQCRQ;SCO2;NDUFB1;SLC25A14;NDUFS8;NDUFB10;NDUFB9;COX16;NDUFV1;ACAD9;UQCRC2;NDUFAF2;UQCRFS1;COX7C;NDUFA10;SCO1;MT-ATP8;NDUFS4;TIMMDC1;SDHA;ETFB;NDUFA2;COX11;MT-CO2;SDHC;ETFA;COX6C;NDUFA4;NDUFB7;NDUFAF1;NDUFA8;MT-CO3;UQCRC1;NUBPL;NDUFA11;TACO1;NDUFA13;TMEM126B;COX19;NDUFS7;NDUFAF6;NDUFS3;MT-CYB;NDUFB11;MT-ND1,NDUFS2;NDUFS1;UQCR10;COX6B1;COX5A;NDUFB5;NDUFAF3;COX4I1;COX7A2L;NDUFB6;NDUFAF5;MT-ND2;NDUFA12;CYC1;NDUFB4;MT-ND4;NDUFA3;SURF1;MT-ATP6;NDUFS5;UQCRB;NDUFAB1;CYCS;NDUFV3;NDUFB8;SDHB;COQ10B;COX20;NDUFC2;NDUFV2;COX5B;NDUFA5;UQCRH;NDUFAF4;ECSIT;COX18;NDUFA9;NDUFS6;NDUFAF7;UQCRQ;SCO2;NDUFB1;SLC25A14;NDUFS8;NDUFB10;NDUFB9;COX16;NDUFV1;ACAD9;UQCRC2;NDUFAF2;UQCRFS1;COX7C;NDUFA10;SCO1;MT-ATP8;NDUFS4;TIMMDC1;SDHA;ETFB;NDUFA2;COX11;MT-CO2;SDHC;ETFA;COX6C;NDUFA4;NDUFB7;NDUFAF1;NDUFA8;MT-CO3;UQCRC1;NUBPL;NDUFA11;TACO1;NDUFA13;TMEM126B;COX19;NDUFS7;NDUFAF6;NDUFS3;MT-CYB;NDUFB11;MT-ND1
DDX58/IFIH1-mediated induction of interferon-alpha/beta,-0.13308222472470274,-339.87684981515997,0.3333333333333333,0.10200971282664462,77,59,IRF7;PCBP2;S100B;CASP8;NKIRAS2;S100A12;CYLD;IKBKG;TRIM25;NLRX1;RNF135;NFKBIA;NFKB1;EP300;TRAF2;SAA1;RELA;DDX58;ATG12;ISG15;IFIH1;HMGB1;FADD;CREBBP;SIKE1;RPS27A;PIN1;UBE2L6;TAX1BP1;IRF3;DHX58;UBE2D1;OTUD5;HERC5;CHUK;UBE2D2;ITCH;APP;TANK;IKBKB;TBK1;UBE2K;UBB;MAP3K1;TRAF3;NFKBIB;MAVS;NKIRAS1;TKFC;RNF216;TNFAIP3;UBA7;NFKB2;UBA52;RIPK1;TRAF6;ATG5;IKBKE;CASP10,CASP8;NKIRAS2;S100A12;CYLD;IKBKG;TRIM25;NLRX1;RNF135;NFKBIA;NFKB1;EP300;TRAF2;SAA1;RELA;DDX58;ATG12;ISG15;IFIH1;HMGB1;FADD;CREBBP;SIKE1;RPS27A;PIN1;UBE2L6;TAX1BP1;IRF3;DHX58;UBE2D1;OTUD5;HERC5;CHUK;UBE2D2;ITCH;APP;TANK;IKBKB;TBK1;UBE2K;UBB;MAP3K1;TRAF3;NFKBIB;MAVS;NKIRAS1;TKFC;RNF216;TNFAIP3;UBA7;NFKB2;UBA52;RIPK1;TRAF6;ATG5;IKBKE;CASP10
Complex I biogenesis,-0.28693861835773,-254.12362606006684,0.0,0.10639049804005878,55,51,NDUFA7;NDUFA6;NDUFB3;MT-ND5;NDUFB2;NDUFS2;NDUFS1;NDUFB5;NDUFAF3;NDUFB6;NDUFAF5;MT-ND2;NDUFA12;NDUFB4;MT-ND4;NDUFA3;NDUFS5;NDUFAB1;NDUFV3;NDUFB8;NDUFC2;NDUFV2;NDUFA5;NDUFAF4;ECSIT;NDUFA9;NDUFS6;NDUFAF7;NDUFB1;NDUFS8;NDUFB10;NDUFB9;NDUFV1;ACAD9;NDUFAF2;NDUFA10;NDUFS4;TIMMDC1;NDUFA2;NDUFB7;NDUFAF1;NDUFA8;NUBPL;NDUFA11;NDUFA13;TMEM126B;NDUFS7;NDUFAF6;NDUFS3;NDUFB11;MT-ND1,NDUFS2;NDUFS1;NDUFB5;NDUFAF3;NDUFB6;NDUFAF5;MT-ND2;NDUFA12;NDUFB4;MT-ND4;NDUFA3;NDUFS5;NDUFAB1;NDUFV3;NDUFB8;NDUFC2;NDUFV2;NDUFA5;NDUFAF4;ECSIT;NDUFA9;NDUFS6;NDUFAF7;NDUFB1;NDUFS8;NDUFB10;NDUFB9;NDUFV1;ACAD9;NDUFAF2;NDUFA10;NDUFS4;TIMMDC1;NDUFA2;NDUFB7;NDUFAF1;NDUFA8;NUBPL;NDUFA11;NDUFA13;TMEM126B;NDUFS7;NDUFAF6;NDUFS3;NDUFB11;MT-ND1
Peroxisomal protein import,-0.1494999015265293,-172.12406860692582,0.3333333333333333,0.14613047819031605,63,51,CRAT;PEX1;SCP2;CAT;ACOT2;EPHX2;ACOT4;GSTK1;HMGCL;MLYCD;PECR;ACOX2;ACOT8;PEX6;CROT;ACOX3;PEX5;PEX14;IDH1;MPV17;PEX12;RPS27A;DECR2;GNPAT;UBE2D1;PEX13;SLC27A2;LONP2;ECI2;TYSND1;AGPS;ACAA1;UBE2D2;PHYH;HSD17B4;UBB;NUDT19;IDE;ACOX1;PIPOX;PEX2;ECH1;USP9X;UBA52;PEX26;ZFAND6;EHHADH;PEX10;HACL1;DHRS4;AMACR,HMGCL;MLYCD;PECR;ACOX2;ACOT8;PEX6;CROT;ACOX3;PEX5;PEX14;IDH1;MPV17;PEX12;RPS27A;DECR2;GNPAT;UBE2D1;PEX13;SLC27A2;LONP2;ECI2;TYSND1;AGPS;ACAA1;UBE2D2;PHYH;HSD17B4;UBB;NUDT19;IDE;ACOX1;PIPOX;PEX2;ECH1;USP9X;UBA52;PEX26;ZFAND6;EHHADH;PEX10;HACL1;DHRS4;AMACR
Activation of anterior HOX genes in hindbrain development during early embryogenesis,-0.14834014554880395,-132.43574760962403,0.25,0.16947380511322305,91,46,POLR2F;POLR2G;RBBP7;RBBP4;POLR2E;ASH2L;WDR5;EP300;KMT2D;PKNOX1;RBBP5;POLR2B;NCOR1;POLR2I;NCOA3;POLR2H;CREBBP;POLR2K;H2AFX;KDM6A;POLR2L;EED;POLR2D;YY1;HDAC3;HOXD4;NCOA6;SUZ12;RARG;PAXIP1;RXRA;JUN;PIAS2;PCGF2;AJUBA;PBX1;CTCF;PAGR1;EZH2;POLR2C;CNOT6;HOXA4;MEIS1;HOXC4;HOXB4;KMT2C,POLR2F;POLR2G;RBBP7;RBBP4;POLR2E;ASH2L;WDR5;EP300;KMT2D;PKNOX1;RBBP5;POLR2B;NCOR1;POLR2I;NCOA3;POLR2H;CREBBP;POLR2K;H2AFX;KDM6A;POLR2L;EED;POLR2D;YY1;HDAC3;HOXD4;NCOA6;SUZ12;RARG;PAXIP1;RXRA;JUN;PIAS2;PCGF2;AJUBA;PBX1;CTCF;PAGR1;EZH2;POLR2C;CNOT6;HOXA4;MEIS1;HOXC4;HOXB4;KMT2C
Intra-Golgi traffic,-0.13292686714879928,-106.92566314945735,0.75,0.19066846119336026,44,42,NAPB;NAPA;COG3;ARF1;MAN1C1;BET1L;COG7;NAPG;RIC1;CYTH4;GOSR1;VTI1A;RGP1;YKT6;RAB39A;STX5;RAB30;COG2;SNAP29;COG1;CYTH1;CYTH3;MAN1A2;GOLIM4;GOLGA5;RAB33B;NSF;CUX1;COG4;GOSR2;MAN1A1;ALPP;CYTH2;COG8;COG6;MAN2A1;TRIP11;STX6;MAN2A2;VPS45;COG5;STX16,NAPG;RIC1;CYTH4;GOSR1;VTI1A;RGP1;YKT6;RAB39A;STX5;RAB30;COG2;SNAP29;COG1;CYTH1;CYTH3;MAN1A2;GOLIM4;GOLGA5;RAB33B;NSF;CUX1;COG4;GOSR2;MAN1A1;ALPP;CYTH2;COG8;COG6;MAN2A1;TRIP11;STX6;MAN2A2;VPS45;COG5;STX16
E3 ubiquitin ligases ubiquitinate target proteins,-0.13957495564768807,-57.04807082609712,0.5625,0.22848355087105673,57,39,LEO1;UBE2J2;UBE2E1;PRKDC;PCNA;CDC73;PAF1;RNF20;UBE2N;RNF181;PEX5;UBE2V2;PEX14;RRAGA;DERL1;PEX12;UBE2L3;RPS27A;SHPRH;UBE2D1;PEX13;HLA-A;RNF40;HLTF;UBE2D2;RTF1;BCL10;UBB;WAC;HLA-B;PEX2;SELENOS;UBE2A;WDR61;UBA52;VCP;PEX10;UBE2B;CTR9,RNF181;PEX5;UBE2V2;PEX14;RRAGA;DERL1;PEX12;UBE2L3;RPS27A;SHPRH;UBE2D1;PEX13;HLA-A;RNF40;HLTF;UBE2D2;RTF1;BCL10;UBB;WAC;HLA-B;PEX2;SELENOS;UBE2A;WDR61;UBA52;VCP;PEX10;UBE2B;CTR9
G1 Phase,-0.17265182920501018,-59.71221508812418,0.47058823529411764,0.23556107918987132,47,37,SRC;CDKN2C;CDKN1B;ABL1;SKP1;CDK2;E2F5;CDKN1C;PPP2CB;JAK2;RBL2;TFDP2;RPS27A;CDK4;CUL1;CDK6;CDKN2A;CKS1B;LYN;PPP2R2A;RB1;CDKN1A;PPP2R1A;CCND2;UBB;PPP2R1B;E2F4;TFDP1;UBA52;RBL1;PPP2CA;E2F3;SKP2;MNAT1;CDK7;CCNE1;CCNH,E2F5;CDKN1C;PPP2CB;JAK2;RBL2;TFDP2;RPS27A;CDK4;CUL1;CDK6;CDKN2A;CKS1B;LYN;PPP2R2A;RB1;CDKN1A;PPP2R1A;CCND2;UBB;PPP2R1B;E2F4;TFDP1;UBA52;RBL1;PPP2CA;E2F3;SKP2;MNAT1;CDK7;CCNE1;CCNH
tRNA modification in the nucleus and cytosol,-0.1554311056675657,-51.32631795795388,0.7058823529411765,0.24198623083621212,43,35,NSUN2;TP53RK;OSGEP;QTRT2;PUS1;TRMT6;CTU1;URM1;PUS7;THG1L;TRMT11;THADA;DUS2;WDR4;TRMT112;TRMT61A;TPRKB;TRMT1;FTSJ1;NSUN6;PUS3;ADAT1;CTU2;TRMT5;CDKAL1;TRMT13;METTL1;TYW1;TYW3;TRIT1;TRMT10A;LAGE3;TYW5;QTRT1;TRMT44,QTRT2;PUS1;TRMT6;CTU1;URM1;PUS7;THG1L;TRMT11;THADA;DUS2;WDR4;TRMT112;TRMT61A;TPRKB;TRMT1;FTSJ1;NSUN6;PUS3;ADAT1;CTU2;TRMT5;CDKAL1;TRMT13;METTL1;TYW1;TYW3;TRIT1;TRMT10A;LAGE3;TYW5;QTRT1;TRMT44
Activation of HOX genes during differentiation,-0.14834014554880395,-69.95947578432269,0.42857142857142855,0.24297712272972252,91,46,POLR2F;POLR2G;RBBP7;RBBP4;POLR2E;ASH2L;WDR5;EP300;KMT2D;PKNOX1;RBBP5;POLR2B;NCOR1;POLR2I;NCOA3;POLR2H;CREBBP;POLR2K;H2AFX;KDM6A;POLR2L;EED;POLR2D;YY1;HDAC3;HOXD4;NCOA6;SUZ12;RARG;PAXIP1;RXRA;JUN;PIAS2;PCGF2;AJUBA;PBX1;CTCF;PAGR1;EZH2;POLR2C;CNOT6;HOXA4;MEIS1;HOXC4;HOXB4;KMT2C,POLR2F;POLR2G;RBBP7;RBBP4;POLR2E;ASH2L;WDR5;EP300;KMT2D;PKNOX1;RBBP5;POLR2B;NCOR1;POLR2I;NCOA3;POLR2H;CREBBP;POLR2K;H2AFX;KDM6A;POLR2L;EED;POLR2D;YY1;HDAC3;HOXD4;NCOA6;SUZ12;RARG;PAXIP1;RXRA;JUN;PIAS2;PCGF2;AJUBA;PBX1;CTCF;PAGR1;EZH2;POLR2C;CNOT6;HOXA4;MEIS1;HOXC4;HOXB4;KMT2C
Regulation of TP53 Expression and Degradation,-0.225566827792187,-62.53601211128361,0.045454545454545456,0.24838356797326142,37,28,DAXX;RFFL;RICTOR;MTOR;CDK2;USP7;MLST8;AKT3;CHEK2;CDK1;AKT2;PDPK1;PPP2CB;AKT1;RPS27A;RNF34;CDKN2A;MAPKAP1;PPP2R5C;CCNA2;TP53;PPP2R1A;UBB;PHF20;PPP2R1B;UBA52;PPP2CA;ATM,RICTOR;MTOR;CDK2;USP7;MLST8;AKT3;CHEK2;CDK1;AKT2;PDPK1;PPP2CB;AKT1;RPS27A;RNF34;CDKN2A;MAPKAP1;PPP2R5C;CCNA2;TP53;PPP2R1A;UBB;PHF20;PPP2R1B;UBA52;PPP2CA;ATM
Heparan sulfate/heparin (HS-GAG) metabolism,-0.16398773257189717,-33.74773922451288,0.36666666666666664,0.26891762945772507,54,34,HSPG2;DCN;CSPG4;GLB1;BGN;XYLT1;HS2ST1;HPSE2;SDC4;HPSE;SDC3;GPC1;XYLT2;SDC2;SGSH;GLCE;SDC1;NDST2;NAGLU;IDS;B3GALT6;GUSB;VCAN;NCAN;HS6ST1;B4GALT7;AGRN;IDUA;EXT1;GPC6;GPC4;B3GAT3;NDST1;EXT2,XYLT1;HS2ST1;HPSE2;SDC4;HPSE;SDC3;GPC1;XYLT2;SDC2;SGSH;GLCE;SDC1;NDST2;NAGLU;IDS;B3GALT6;GUSB;VCAN;NCAN;HS6ST1;B4GALT7;AGRN;IDUA;EXT1;GPC6;GPC4;B3GAT3;NDST1;EXT2
"Transport of bile salts and organic acids, metal ions and amine compounds",-0.18616700392841173,-36.44234343648285,0.5,0.269035841122214,86,29,CP;SLC16A7;SLC39A7;SLC22A3;SLC39A10;SLC39A6;SLC30A6;SLC14A1;SLC44A1;EMB;SLC30A1;SLC5A3;SLC22A18;SLC6A12;SLC44A2;SLC6A6;SLC16A1;BSG;SLC40A1;SLC11A1;HEPH;SLC44A4;SLC16A3;SLC30A5;RUNX1;SLC31A1;SLC39A14;SLC11A2;SLC30A7,SLC39A6;SLC30A6;SLC14A1;SLC44A1;EMB;SLC30A1;SLC5A3;SLC22A18;SLC6A12;SLC44A2;SLC6A6;SLC16A1;BSG;SLC40A1;SLC11A1;HEPH;SLC44A4;SLC16A3;SLC30A5;RUNX1;SLC31A1;SLC39A14;SLC11A2;SLC30A7
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,-0.23741887362246253,-32.551602998890395,0.0,0.269880210154278,32,25,HDAC1;SNW1;TGIF2;E2F5;SERPINE1;SP1;TFDP2;CCNK;CDK9;RPS27A;SMAD3;WWTR1;MEN1;CCNT1;UBB;TGIF1;E2F4;SMAD4;TFDP1;UBA52;RBL1;CDK8;SMAD2;JUNB;CCNT2,TGIF2;E2F5;SERPINE1;SP1;TFDP2;CCNK;CDK9;RPS27A;SMAD3;WWTR1;MEN1;CCNT1;UBB;TGIF1;E2F4;SMAD4;TFDP1;UBA52;RBL1;CDK8;SMAD2;JUNB;CCNT2
Cyclin D associated events in G1,-0.17265182920501018,-71.0512456119377,0.4666666666666667,0.27196629835114183,47,37,SRC;CDKN2C;CDKN1B;ABL1;SKP1;CDK2;E2F5;CDKN1C;PPP2CB;JAK2;RBL2;TFDP2;RPS27A;CDK4;CUL1;CDK6;CDKN2A;CKS1B;LYN;PPP2R2A;RB1;CDKN1A;PPP2R1A;CCND2;UBB;PPP2R1B;E2F4;TFDP1;UBA52;RBL1;PPP2CA;E2F3;SKP2;MNAT1;CDK7;CCNE1;CCNH,E2F5;CDKN1C;PPP2CB;JAK2;RBL2;TFDP2;RPS27A;CDK4;CUL1;CDK6;CDKN2A;CKS1B;LYN;PPP2R2A;RB1;CDKN1A;PPP2R1A;CCND2;UBB;PPP2R1B;E2F4;TFDP1;UBA52;RBL1;PPP2CA;E2F3;SKP2;MNAT1;CDK7;CCNE1;CCNH
Regulation of TP53 Degradation,-0.225566827792187,-34.272099306444865,0.16666666666666666,0.2768129243122768,36,28,DAXX;RFFL;RICTOR;MTOR;CDK2;USP7;MLST8;AKT3;CHEK2;CDK1;AKT2;PDPK1;PPP2CB;AKT1;RPS27A;RNF34;CDKN2A;MAPKAP1;PPP2R5C;CCNA2;TP53;PPP2R1A;UBB;PHF20;PPP2R1B;UBA52;PPP2CA;ATM,RICTOR;MTOR;CDK2;USP7;MLST8;AKT3;CHEK2;CDK1;AKT2;PDPK1;PPP2CB;AKT1;RPS27A;RNF34;CDKN2A;MAPKAP1;PPP2R5C;CCNA2;TP53;PPP2R1A;UBB;PHF20;PPP2R1B;UBA52;PPP2CA;ATM
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,-0.14794324517750754,-30.754342694677213,0.7142857142857143,0.2776962678788914,44,34,HDAC1;SNW1;TRIM33;PARP1;PPM1A;TGIF2;NCOR1;NCOR2;E2F5;SERPINE1;SP1;TFDP2;CCNK;CDK9;RPS27A;UBE2D1;SMAD3;NEDD4L;WWTR1;MEN1;CCNT1;UBB;TGIF1;USP9X;E2F4;SMAD4;TFDP1;UBA52;RBL1;CDK8;SMAD2;SMURF2;JUNB;CCNT2,NCOR1;NCOR2;E2F5;SERPINE1;SP1;TFDP2;CCNK;CDK9;RPS27A;UBE2D1;SMAD3;NEDD4L;WWTR1;MEN1;CCNT1;UBB;TGIF1;USP9X;E2F4;SMAD4;TFDP1;UBA52;RBL1;CDK8;SMAD2;SMURF2;JUNB;CCNT2
Negative regulators of DDX58/IFIH1 signaling,-0.20012451425131342,-36.78127918092374,0.36666666666666664,0.28132740000765716,34,30,PCBP2;CYLD;TRIM25;NLRX1;RNF135;DDX58;ATG12;ISG15;IFIH1;RPS27A;PIN1;UBE2L6;TAX1BP1;IRF3;UBE2D1;OTUD5;HERC5;UBE2D2;ITCH;TBK1;UBE2K;UBB;TRAF3;MAVS;RNF216;TNFAIP3;UBA7;UBA52;ATG5;IKBKE,CYLD;TRIM25;NLRX1;RNF135;DDX58;ATG12;ISG15;IFIH1;RPS27A;PIN1;UBE2L6;TAX1BP1;IRF3;UBE2D1;OTUD5;HERC5;UBE2D2;ITCH;TBK1;UBE2K;UBB;TRAF3;MAVS;RNF216;TNFAIP3;UBA7;UBA52;ATG5;IKBKE
Transcriptional Regulation by E2F6,-0.16480891719745128,-38.93840071724356,0.52,0.29238612167244393,34,29,RBBP7;RBBP4;CBX5;CBX3;PHC3;RRM2;CHEK1;MGA;RNF2;EHMT1;TFDP2;L3MBTL2;UXT;EHMT2;EED;EPC1;RING1;PHC1;RYBP;SUZ12;PCGF2;PCGF6;E2F6;TFDP1;MAX;EZH2;APAF1;RBBP8;YAF2,RBBP7;RBBP4;CBX5;CBX3;PHC3;RRM2;CHEK1;MGA;RNF2;EHMT1;TFDP2;L3MBTL2;UXT;EHMT2;EED;EPC1;RING1;PHC1;RYBP;SUZ12;PCGF2;PCGF6;E2F6;TFDP1;MAX;EZH2;APAF1;RBBP8;YAF2
O-linked glycosylation of mucins,-0.3454382648492776,-37.10810140900416,0.0,0.294998947139016,65,26,MUC1;GALNT11;GALNT7;MUC16;GALNT2;GALNT10;GALNT14;B3GNT3;B4GALT5;GALNT16;GALNT3;GALNT12;GALNT5;ST3GAL1;MUC5B;B3GNT9;GALNT6;B3GNT2;ST3GAL4;ST6GAL1;MUC4;C1GALT1;CHST4;GALNT17;C1GALT1C1;GALNT1,MUC1;GALNT11;GALNT7;MUC16;GALNT2;GALNT10;GALNT14;B3GNT3;B4GALT5;GALNT16;GALNT3;GALNT12;GALNT5;ST3GAL1;MUC5B;B3GNT9;GALNT6;B3GNT2;ST3GAL4;ST6GAL1;MUC4;C1GALT1;CHST4;GALNT17;C1GALT1C1;GALNT1
Ovarian tumor domain proteases,-0.1824771218621826,-42.02960014418941,0.44,0.2993376094176857,38,31,YOD1;TNIP2;TNIP1;IKBKG;TRIM25;RNF135;DDX58;CDK1;ESR1;RIPK2;OTUD7B;APC;IFIH1;PTEN;RPS27A;UBE2D1;OTUD5;OTUB1;TP53;OTUD7A;UBB;TRAF3;VCPIP1;MAVS;RHOA;TNFAIP3;UBA52;RIPK1;TRAF6;VCP;OTUB2,TNIP2;TNIP1;IKBKG;TRIM25;RNF135;DDX58;CDK1;ESR1;RIPK2;OTUD7B;APC;IFIH1;PTEN;RPS27A;UBE2D1;OTUD5;OTUB1;TP53;OTUD7A;UBB;TRAF3;VCPIP1;MAVS;RHOA;TNFAIP3;UBA52;RIPK1;TRAF6;VCP;OTUB2
Chondroitin sulfate/dermatan sulfate metabolism,-0.15755045902602655,-39.25086840725364,0.7727272727272727,0.30871125187590165,50,33,HSPG2;DCN;CSPG4;CHST14;BGN;CHST12;XYLT1;CHSY1;SDC4;SDC3;DSE;GPC1;CHPF;XYLT2;SDC2;HEXA;SDC1;CHPF2;CHST11;IDS;B3GALT6;CHSY3;HEXB;ARSB;VCAN;NCAN;B4GALT7;AGRN;IDUA;GPC6;GPC4;B3GAT3;CSGALNACT2,CHST12;XYLT1;CHSY1;SDC4;SDC3;DSE;GPC1;CHPF;XYLT2;SDC2;HEXA;SDC1;CHPF2;CHST11;IDS;B3GALT6;CHSY3;HEXB;ARSB;VCAN;NCAN;B4GALT7;AGRN;IDUA;GPC6;GPC4;B3GAT3;CSGALNACT2
Generation of second messenger molecules,-0.2633708165440877,-27.319924710251694,0.0392156862745098,0.313076488605861,41,24,PAK2;WAS;PLCG1;CD3E;PAK1;HLA-DRA;CD4;ENAH;PLCG2;CD247;GRAP2;HLA-DRB5;HLA-DQA1;HLA-DPA1;ZAP70;HLA-DQB1;HLA-DPB1;HLA-DRB1;HLA-DRB4;VASP;HLA-DRB3;EVL;NCK1;LCP2,WAS;PLCG1;CD3E;PAK1;HLA-DRA;CD4;ENAH;PLCG2;CD247;GRAP2;HLA-DRB5;HLA-DQA1;HLA-DPA1;ZAP70;HLA-DQB1;HLA-DPB1;HLA-DRB1;HLA-DRB4;VASP;HLA-DRB3;EVL;NCK1;LCP2
Glyoxylate metabolism and glycine degradation,-0.2491197096449856,-22.556143374699694,0.14814814814814814,0.38509188114107545,31,21,OGDH;AMT;ALDH4A1;DBT;PXMP2;GRHPR;PDHX;DLST;PDHB;DLD;NDUFAB1;LIAS;BCKDHB;LIPT2;GLDC;BCKDHA;PDHA1;DLAT;DHTKD1;GOT2;GCSH,AMT;ALDH4A1;DBT;PXMP2;GRHPR;PDHX;DLST;PDHB;DLD;NDUFAB1;LIAS;BCKDHB;LIPT2;GLDC;BCKDHA;PDHA1;DLAT;DHTKD1;GOT2;GCSH
Fatty acyl-CoA biosynthesis,-0.19417089426041495,-21.006970022125852,0.3541666666666667,0.409991429858843,37,24,ACSL1;ACSL5;SLC27A3;ACACA;ACSL6;SCD5;FASN;ACSF3;PPT1;ACSL4;ELOVL5;HACD3;ACSL3;HSD17B12;TECR;MORC2;HACD4;HACD2;SLC25A1;ACLY;ELOVL1;HSD17B8;SCD;CBR4,ACSL1;ACSL5;SLC27A3;ACACA;ACSL6;SCD5;FASN;ACSF3;PPT1;ACSL4;ELOVL5;HACD3;ACSL3;HSD17B12;TECR;MORC2;HACD4;HACD2;SLC25A1;ACLY;ELOVL1;HSD17B8;SCD;CBR4
Polymerase switching on the C-strand of the telomere,-0.19179502262438872,-17.574364060422305,0.3220338983050847,0.42915544731225236,26,23,PCNA;POLD1;RFC3;POLD3;PRIM1;RFC2;POT1;CTC1;POLA1;CHTF8;PRIM2;RFC4;POLD4;RFC1;TERF1;DSCC1;POLA2;RFC5;TINF2;TERF2;TERF2IP;CHTF18;POLD2,RFC3;POLD3;PRIM1;RFC2;POT1;CTC1;POLA1;CHTF8;PRIM2;RFC4;POLD4;RFC1;TERF1;DSCC1;POLA2;RFC5;TINF2;TERF2;TERF2IP;CHTF18;POLD2
Endosomal Sorting Complex Required For Transport (ESCRT),-0.1360839474639288,-19.448538787871364,0.918918918918919,0.43995600071859603,31,29,VPS37A;CHMP6;CHMP4B;MVB12B;VPS36;VPS37B;VPS37C;VPS4A;STAM;CHMP5;CHMP4A;RPS27A;HGS;TSG101;VTA1;UBAP1;CHMP7;CHMP2A;CHMP2B;UBB;STAM2;SNF8;MVB12A;VPS25;VPS28;UBA52;VPS4B;CHMP3;CHMP4C,CHMP6;CHMP4B;MVB12B;VPS36;VPS37B;VPS37C;VPS4A;STAM;CHMP5;CHMP4A;RPS27A;HGS;TSG101;VTA1;UBAP1;CHMP7;CHMP2A;CHMP2B;UBB;STAM2;SNF8;MVB12A;VPS25;VPS28;UBA52;VPS4B;CHMP3;CHMP4C
"TICAM1, RIP1-mediated IKK complex recruitment",-0.34257025471174496,-17.65254514407387,0.033707865168539325,0.44112421010883984,19,14,IKBKG;UBE2N;RPS27A;UBE2D1;CHUK;UBE2D2;RIPK3;IKBKB;UBB;BIRC2;UBA52;RIPK1;TLR3;TRAF6,RPS27A;UBE2D1;CHUK;UBE2D2;RIPK3;IKBKB;UBB;BIRC2;UBA52;RIPK1;TLR3;TRAF6
ATF4 activates genes in response to endoplasmic reticulum  stress,-0.22803644471122397,-16.531849566866775,0.15942028985507245,0.4449815768292226,28,21,NFYA;EXOSC4;KHSRP;ASNS;PARN;EXOSC1;EXOSC2;NFYC;HERPUD1;EXOSC8;CEBPG;DCP2;ATF6;DIS3;EXOSC5;EXOSC7;NFYB;CEBPB;EXOSC9;EXOSC3;EXOSC6,PARN;EXOSC1;EXOSC2;NFYC;HERPUD1;EXOSC8;CEBPG;DCP2;ATF6;DIS3;EXOSC5;EXOSC7;NFYB;CEBPB;EXOSC9;EXOSC3;EXOSC6
Negative regulation of MET activity,-0.2358556229491988,-16.743217101826307,0.2878787878787879,0.44977365329508673,21,20,SH3GL1;USP8;PTPRJ;EPS15;HGF;SH3GL2;STAM;GRB2;SH3KBP1;RPS27A;HGS;MET;UBB;PTPN1;STAM2;LRIG1;SH3GL3;UBA52;PTPN2;CBL,SH3GL1;USP8;PTPRJ;EPS15;HGF;SH3GL2;STAM;GRB2;SH3KBP1;RPS27A;HGS;MET;UBB;PTPN1;STAM2;LRIG1;SH3GL3;UBA52;PTPN2;CBL
Adherens junctions interactions,-0.17303102625297934,-17.808987705191573,0.64,0.45024976695898306,31,21,CDH5;CDH13;ANG;CADM3;NECTIN1;CTNNA1;PVR;CTNND1;NECTIN4;CDH11;CTNNB1;NECTIN2;CDH2;CDH1;CDH6;CDH10;JUP;CADM1;AFDN;CDH3;NECTIN3,CDH5;CDH13;ANG;CADM3;NECTIN1;CTNNA1;PVR;CTNND1;NECTIN4;CDH11;CTNNB1;NECTIN2;CDH2;CDH1;CDH6;CDH10;JUP;CADM1;AFDN;CDH3;NECTIN3
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,-0.24780419933121112,-18.200891361437336,0.15151515151515152,0.4503268391830051,17,17,EXOSC4;DCP1A;YWHAB;EXOSC1;AKT1;XRN1;EXOSC2;EXOSC8;DCP2;ZFP36L1;DIS3;MAPKAPK2;EXOSC5;EXOSC7;EXOSC9;EXOSC3;EXOSC6,EXOSC1;AKT1;XRN1;EXOSC2;EXOSC8;DCP2;ZFP36L1;DIS3;MAPKAPK2;EXOSC5;EXOSC7;EXOSC9;EXOSC3;EXOSC6
